=== Список ресурсів системи та їхні рівні безпеки ===
Ресурс                   | Числовий рівень  | Рівень безпеки
-----------------------------------------------------------------
cloud_configs            | 4                | Critical Infrastructure
deployment_pipelines     | 3                | Production
test_environments        | 2                | Staging
partner_apis             | 2                | Staging
infrastructure_code      | 4                | Critical Infrastructure
shared_resources         | 1                | Development
container_registry       | 3                | Production
secrets_vault            | 4                | Critical Infrastructure
build_artifacts          | 2                | Staging
public_endpoints         | 1                | Development
